# Manually transcribed from Bezacier et al. (2014), Table I, ice VI.
# Parenthetical uncertainties are retained verbatim in the reported units.
# The Table I caption states a temperature uncertainty of +/-0.4 K for all rows.
P[GPa]	T[K]	V_cell[A^3]	a[A]	c[A]
1.26(2)	300.7	217.944(7)	6.1845(1)	5.6981(1)
1.29(2)	300.6	217.542(6)	6.1815(1)	5.6931(1)
1.34(2)	300.7	216.988(4)	6.1757(1)	5.6893(1)
1.38(2)	300.5	216.536(5)	6.1729(1)	5.6825(1)
1.38(2)	300.7	216.559(6)	6.1725(1)	5.6840(1)
1.47(4)	300.5	215.820(3)	6.1658(1)	5.6769(1)
1.52(2)	300.7	214.996(3)	6.15858(5)	5.66851(5)
1.54(3)	298.7	214.814(4)	6.1569(1)	5.66676(4)
1.58(3)	298.8	214.406(3)	6.15347(5)	5.66237(4)
1.63(3)	299.0	213.955(3)	6.1492(1)	5.65814(4)
1.64(2)	300.7	213.573(3)	6.14588(5)	5.65427(4)
1.65(3)	299.0	213.669(4)	6.1471(1)	5.65451(4)
1.69(3)	299.1	213.118(5)	6.1419(1)	5.6494(1)
1.72(4)	299.3	212.780(4)	6.1391(1)	5.64562(5)
1.76(2)	300.6	212.457(3)	6.13609(5)	5.64271(4)
1.83(2)	300.6	211.897(2)	6.13141(4)	5.63642(4)
1.93(2)	300.5	210.673(3)	6.11950(5)	5.62570(5)
2.08(2)	300.6	209.385(3)	6.1085(1)	5.61135(5)
2.17(2)	300.7	208.386(5)	6.0993(1)	5.6015(1)
2.26(3)	300.7	207.620(3)	6.09364(5)	5.59133(5)
2.39(3)	300.7	206.347(3)	6.08197(5)	5.57840(4)
2.55(3)	300.7	205.207(2)	6.07183(4)	5.56614(4)
2.81(4)	300.7	202.779(3)	6.04892(5)	5.54201(6)
1.26(2)	310.5	216.673(4)	6.1746(1)	5.68306(5)
1.31(2)	310.4	216.279(4)	6.1708(1)	5.67972(5)
1.36(2)	310.2	215.771(4)	6.1665(1)	5.67424(5)
1.40(2)	316.2	215.529(5)	6.1648(1)	5.67105(5)
1.44(2)	316.5	215.060(4)	6.1604(1)	5.66684(4)
1.58(2)	316.6	213.545(4)	6.1470(1)	5.65147(5)
1.64(3)	321.9	213.284(3)	6.1450(1)	5.64825(4)
1.71(3)	322.4	212.652(4)	6.1392(1)	5.64207(5)
1.78(3)	322.2	212.016(3)	6.1342(1)	5.63438(4)
1.82(4)	327.5	211.811(3)	6.1321(1)	5.63280(4)
1.86(5)	328.2	211.567(4)	6.1298(1)	5.63055(4)
1.92(5)	328.4	210.931(4)	6.1244(1)	5.62363(4)
1.98(5)	333.7	210.648(3)	6.12213(5)	5.62021(4)
2.03(5)	334.4	210.307(5)	6.1192(1)	5.6165(1)
2.06(5)	334.4	210.013(5)	6.1168(1)	5.6130(1)
2.19(6)	340.0	209.485(4)	6.1124(1)	5.60699(5)
2.23(4)	340.5	209.093(5)	6.1090(1)	5.6027(1)
2.27(3)	340.7	208.648(4)	6.1042(1)	5.5996(1)
2.28(3)	340.7	208.618(5)	6.1048(1)	5.59776(5)
2.38(4)	340.7	207.960(5)	6.0988(1)	5.5910(1)
2.48(4)	340.6	206.936(3)	6.0894(1)	5.58063(4)
2.56(3)	340.7	206.233(3)	6.0832(1)	5.57310(4)
