rho[kg/m^3]	drho[kg/m^3]	P[Pa]	dP[Pa]	T[K]	dT[K]	V[m^3/mol]	dV[m^3/mol]
1.37260e3	4e-2	1.26e9	2e7	300.7	0.4	1.31249e-5	4e-10
1.37514e3	4e-2	1.29e9	2e7	300.6	0.4	1.31007e-5	4e-10
1.37865e3	2e-2	1.34e9	2e7	300.7	0.4	1.30673e-5	2e-10
1.38153e3	3e-2	1.38e9	2e7	300.5	0.4	1.30401e-5	3e-10
1.38138e3	4e-2	1.38e9	2e7	300.7	0.4	1.30415e-5	4e-10
1.38611e3	2e-2	1.47e9	4e7	300.5	0.4	1.29970e-5	2e-10
1.39142e3	2e-2	1.52e9	2e7	300.7	0.4	1.29474e-5	2e-10
1.39260e3	2e-2	1.54e9	3e7	298.7	0.4	1.29364e-5	2e-10
1.39526e3	2e-2	1.58e9	3e7	298.8	0.4	1.29118e-5	2e-10
1.39819e3	2e-2	1.63e9	3e7	299.0	0.4	1.28847e-5	2e-10
1.40069e3	2e-2	1.64e9	2e7	300.7	0.4	1.28617e-5	2e-10
1.40007e3	2e-2	1.65e9	3e7	299.0	0.4	1.28674e-5	2e-10
1.40368e3	3e-2	1.69e9	3e7	299.1	0.4	1.28343e-5	3e-10
1.40592e3	2e-2	1.72e9	4e7	299.3	0.4	1.28139e-5	2e-10
1.40805e3	2e-2	1.76e9	2e7	300.6	0.4	1.27945e-5	2e-10
1.41178e3	1e-2	1.83e9	2e7	300.6	0.4	1.27607e-5	1e-10
1.41998e3	2e-2	1.93e9	2e7	300.5	0.4	1.26870e-5	2e-10
1.42871e3	2e-2	2.08e9	2e7	300.6	0.4	1.26095e-5	2e-10
1.43556e3	3e-2	2.17e9	2e7	300.7	0.4	1.25493e-5	3e-10
1.44085e3	2e-2	2.26e9	3e7	300.7	0.4	1.25032e-5	2e-10
1.44975e3	2e-2	2.39e9	3e7	300.7	0.4	1.24265e-5	2e-10
1.45779e3	1e-2	2.55e9	3e7	300.7	0.4	1.23579e-5	1e-10
1.47526e3	2e-2	2.81e9	4e7	300.7	0.4	1.22116e-5	2e-10
1.38065e3	2e-2	1.26e9	2e7	310.5	0.4	1.30484e-5	2e-10
1.38317e3	2e-2	1.31e9	2e7	310.4	0.4	1.30246e-5	2e-10
1.38643e3	2e-2	1.36e9	2e7	310.2	0.4	1.29940e-5	2e-10
1.38798e3	3e-2	1.40e9	2e7	316.2	0.4	1.29795e-5	3e-10
1.39101e3	2e-2	1.44e9	2e7	316.5	0.4	1.29512e-5	2e-10
1.40088e3	2e-2	1.58e9	2e7	316.6	0.4	1.28600e-5	2e-10
1.40259e3	2e-2	1.64e9	3e7	321.9	0.4	1.28443e-5	2e-10
1.40676e3	2e-2	1.71e9	3e7	322.4	0.4	1.28062e-5	2e-10
1.41098e3	2e-2	1.78e9	3e7	322.2	0.4	1.27679e-5	2e-10
1.41234e3	2e-2	1.82e9	4e7	327.5	0.4	1.27556e-5	2e-10
1.41397e3	2e-2	1.86e9	5e7	328.2	0.4	1.27409e-5	2e-10
1.41824e3	2e-2	1.92e9	5e7	328.4	0.4	1.27026e-5	2e-10
1.42015e3	2e-2	1.98e9	5e7	333.7	0.4	1.26855e-5	2e-10
1.42245e3	3e-2	2.03e9	5e7	334.4	0.4	1.26650e-5	3e-10
1.42444e3	3e-2	2.06e9	5e7	334.4	0.4	1.26473e-5	3e-10
1.42803e3	2e-2	2.19e9	6e7	340.0	0.4	1.26155e-5	2e-10
1.43070e3	3e-2	2.23e9	4e7	340.5	0.4	1.25919e-5	3e-10
1.43376e3	2e-2	2.27e9	3e7	340.7	0.4	1.25651e-5	2e-10
1.43396e3	3e-2	2.28e9	3e7	340.7	0.4	1.25633e-5	3e-10
1.43851e3	3e-2	2.38e9	4e7	340.7	0.4	1.25236e-5	3e-10
1.44562e3	2e-2	2.48e9	4e7	340.6	0.4	1.24620e-5	2e-10
1.45055e3	2e-2	2.56e9	3e7	340.7	0.4	1.24196e-5	2e-10
