# Manually transcribed from Bezacier et al. (2014), Table I, ice VII.
# Parenthetical uncertainties are retained verbatim in the reported units.
# The Table I caption states a temperature uncertainty of +/-0.4 K for all rows.
P[GPa]	T[K]	V_cell[A^3]	a[A]
2.71(2)	300.6	37.156(1)	3.33689(1)
3.17(2)	300.5	36.542(1)	3.31841(2)
3.29(2)	300.5	36.430(1)	3.31501(1)
3.56(2)	300.5	36.123(1)	3.30568(2)
4.20(3)	300.6	35.586(1)	3.28922(2)
4.81(2)	300.8	35.009(1)	3.27136(2)
5.79(5)	300.5	34.152(1)	3.24425(3)
6.29(4)	300.5	33.786(1)	3.23281(3)
6.85(2)	300.5	33.284(1)	3.21671(4)
7.31(2)	300.5	33.033(1)	3.20861(5)
7.64(2)	300.5	32.701(2)	3.1978(1)
8.12(2)	300.6	32.406(2)	3.1882(1)
8.54(2)	300.6	32.102(2)	3.1782(1)
9.03(1)	300.6	31.872(2)	3.1706(1)
9.22(2)	300.6	31.730(2)	3.1659(1)
5.49(4)	300.5	34.502(1)	3.25549(2)
9.78(2)	300.5	31.577(2)	3.1607(1)
2.88(2)	340.4	37.155(1)	3.33685(2)
2.88(2)	340.3	37.170(1)	3.33732(1)
2.81(2)	340.5	37.196(1)	3.33811(2)
2.78(3)	340.5	37.238(1)	3.33935(2)
2.76(3)	340.6	37.317(1)	3.34172(4)
2.67(2)	340.6	37.394(1)	3.34402(2)
2.55(3)	340.7	37.622(1)	3.35078(3)
2.48(3)	340.7	37.758(1)	3.35482(2)
2.33(3)	340.6	38.001(1)	3.36200(3)
2.28(3)	340.6	38.070(1)	3.36404(2)
2.19(5)	340.6	38.220(1)	3.36846(3)
2.18(5)	340.6	38.221(1)	3.36849(4)
2.15(2)	340.7	38.218(1)	3.36839(4)
2.14(2)	340.7	38.223(1)	3.36854(4)
2.22(3)	340.6	38.202(1)	3.36792(2)
2.20(2)	340.6	38.212(1)	3.36823(3)
4.87(3)	340.7	35.082(1)	3.27363(3)
5.59(4)	340.7	34.561(1)	3.25733(3)
6.26(2)	340.7	33.967(1)	3.23856(2)
6.93(2)	340.7	33.481(1)	3.22304(3)
7.64(2)	340.7	32.871(1)	3.20334(3)
8.49(2)	340.7	32.391(1)	3.18767(4)
8.93(3)	340.7	32.095(1)	3.17795(4)
9.25(3)	340.7	31.962(1)	3.17354(5)
9.66(3)	340.7	31.693(1)	3.16461(5)
9.96(3)	340.7	31.569(1)	3.16049(5)
2.73(3)	380.1	37.726(1)	3.35388(1)
2.75(4)	380.1	37.684(1)	3.35262(1)
2.79(3)	380.1	37.588(1)	3.34977(2)
2.86(4)	380.1	37.486(1)	3.34676(2)
2.90(5)	380.1	37.403(1)	3.34429(1)
2.93(3)	380.1	37.374(1)	3.34343(1)
3.04(3)	380.1	37.214(1)	3.33864(2)
3.15(3)	380.1	37.040(1)	3.33342(1)
3.24(3)	380.2	36.896(1)	3.32910(1)
3.24(3)	380.2	36.941(1)	3.33045(2)
3.34(3)	380.2	36.766(1)	3.32518(1)
3.47(3)	380.2	36.565(1)	3.31912(1)
3.52(5)	380.2	36.498(1)	3.31709(1)
3.62(2)	380.3	36.385(1)	3.31365(2)
3.75(4)	380.2	36.249(1)	3.30952(1)
3.80(2)	380.3	36.167(1)	3.30704(1)
3.88(5)	380.2	36.065(1)	3.30392(1)
4.00(3)	380.2	35.980(1)	3.30133(1)
4.28(4)	380.3	35.670(1)	3.29181(1)
4.28(3)	380.3	35.699(1)	3.29270(2)
4.38(4)	380.4	35.543(1)	3.28789(1)
4.46(3)	380.3	35.473(1)	3.28573(1)
4.60(3)	380.3	35.423(1)	3.28418(2)
4.94(3)	380.3	35.142(1)	3.27549(2)
5.28(3)	380.3	34.816(1)	3.26533(2)
6.04(3)	380.2	34.118(1)	3.24337(2)
6.88(2)	380.3	33.363(1)	3.21924(2)
7.98(3)	380.2	32.613(1)	3.19493(2)
8.89(3)	380.2	32.118(1)	3.17870(3)
9.06(3)	380.2	31.959(1)	3.17343(2)
9.43(3)	380.2	31.760(1)	3.16684(2)
9.69(2)	380.2	31.538(1)	3.15944(3)
5.71(5)	380.2	34.498(1)	3.25535(2)
5.64(5)	450.6	34.725(1)	3.26248(2)
5.71(6)	450.7	34.734(1)	3.26275(2)
6.14(7)	451.1	34.492(1)	3.25518(2)
6.37(3)	451.1	34.342(1)	3.25044(2)
6.55(2)	451.2	34.201(1)	3.24598(2)
6.94(2)	449.9	33.829(1)	3.23418(3)
7.27(3)	449.9	33.512(1)	3.22402(2)
7.82(3)	449.9	33.118(1)	3.21135(3)
8.58(4)	449.9	32.570(1)	3.19354(3)
10.11(3)	449.9	31.702(1)	3.16493(2)
9.67(3)	450	31.833(1)	3.16928(3)
9.37(4)	450.1	31.947(1)	3.17304(2)
4.25(5)	450.1	36.093(1)	3.30478(3)
4.39(5)	449.7	35.885(1)	3.29840(3)
4.83(5)	449.8	35.351(1)	3.28198(2)
5.12(5)	449.9	34.965(2)	3.2700(1)
