rho[kg/m^3]	P[Pa]	dP[Pa]	V[m^3/mol]
1607.63690048	2710000000	430000000	1.12060627587e-05
1615.75339319	3540000000	265000000	1.11497707979e-05
1644.74465129	3570000000	115000000	1.09532382342e-05
1645.19149101	3560000000	120000000	1.09502632967e-05
1645.63857359	3580000000	120000000	1.09472883592e-05
1646.38394941	3580000000	104000000	1.09423321373e-05
1647.27874793	3570000000	60000000	1.09363882844e-05
1648.77224217	3690000000	74000000	1.09264818628e-05
1650.86541196	3647000000	72000000	1.0912627928e-05
1652.96253319	4020000000	180000000	1.08987830264e-05
1657.31739894	3890000000	140000000	1.0870144736e-05
1670.17055885	4380000000	350000000	1.07864911787e-05
1703.59252643	4460000000	110000000	1.05748761635e-05
1673.36661856	4500000000	420000000	1.07658894352e-05
1679.32361553	4560000000	550000000	1.07277000296e-05
1716.29664381	5090000000	390000000	1.04966003779e-05
