rho[kg/m^3]	P[Pa]	dP[Pa]	V[m^3/mol]
1716.61179889	5260000000	390000000	1.04946732928e-05
1721.03367879	5370000000	370000000	1.04677091576e-05
1723.88449837	5420000000	150000000	1.0450398514e-05
1724.3604706	5430000000	100000000	1.04475139086e-05
1725.15351296	5433000000	50000000	1.04427112513e-05
1726.26499852	5450000000	30000000	1.04359875311e-05
1734.23144705	5600000000	140000000	1.03880482796e-05
1738.55370287	5700000000	160000000	1.0362222329e-05
1742.56861742	5780000000	210000000	1.03383475519e-05
1746.43438415	5890000000	390000000	1.0315463417e-05
1751.93076428	6020000000	350000000	1.02831004326e-05
1759.24106399	6170000000	390000000	1.02403703328e-05
1767.90251569	6260000000	290000000	1.01901998782e-05
1770.61108247	6400000000	430000000	1.01746115668e-05
1774.47767501	6490000000	410000000	1.01524410556e-05
1779.61218926	6500000000	450000000	1.01231493629e-05
1782.7258829	6550000000	130000000	1.01054683577e-05
1788.0755566	6700000000	510000000	1.00752342e-05
1794.06459372	6910000000	520000000	1.00416005438e-05
1802.18250861	7050000000	490000000	9.99636824459e-06
1809.1140804	7220000000	490000000	9.95806742936e-06
1813.99194218	7390000000	460000000	9.93128998047e-06
1840.5160597	7970000000	130000000	9.78816778317e-06
1896.21558082	9760000000	130000000	9.50064970579e-06
1943.0774427	11360000000	150000000	9.27151929415e-06
1988.17507368	11990000000	160000000	9.06121409453e-06
1961.26752343	12430000000	240000000	9.18552914624e-06
1961.60639818	12400000000	260000000	9.18394231215e-06
1961.63469662	12390000000	360000000	9.18380982506e-06
1961.77041187	12360000000	340000000	9.18317448921e-06
1961.97562841	12590000000	300000000	9.18221395775e-06
1962.10753004	12630000000	290000000	9.18159668833e-06
1962.47308674	12680000000	490000000	9.17988640035e-06
1962.92571617	12660000000	520000000	9.17776961787e-06
1963.34054149	12710000000	520000000	9.17583048855e-06
1964.47189536	12790000000	580000000	9.17054606003e-06
1966.29446925	12830000000	590000000	9.16204580835e-06
1970.59926394	12830000000	530000000	9.14203122353e-06
1975.63507911	12850000000	580000000	9.11872854986e-06
1988.42418009	13060000000	400000000	9.060078921e-06
1996.55925582	13170000000	460000000	9.02316319814e-06
2012.43625565	13280000000	170000000	8.95197547222e-06
2005.93136239	13390000000	530000000	8.98100520175e-06
2013.72725365	13640000000	670000000	8.94623637207e-06
2036.89596272	13720000000	170000000	8.84447724858e-06
2021.05337358	13990000000	420000000	8.91380714408e-06
2028.72049512	14350000000	610000000	8.88011928867e-06
2097.99989172	15890000000	180000000	8.58688318864e-06
2073.92601868	15940000000	470000000	8.68655865143e-06
2074.23231385	15720000000	560000000	8.68527593545e-06
2131.14590715	18250000000	600000000	8.45333017301e-06
2142.41423265	18350000000	470000000	8.40886870778e-06
2131.66982368	18390000000	510000000	8.45125253445e-06
2133.41274896	18370000000	490000000	8.44434815006e-06
2132.12713233	18420000000	520000000	8.44943987008e-06
2134.73190655	18440000000	400000000	8.4391299651e-06
2134.18592918	18720000000	520000000	8.44128890256e-06
2135.0251896	18770000000	550000000	8.437970703e-06
2143.7491577	18870000000	400000000	8.40363245639e-06
2123.31418199	19210000000	580000000	8.48450980679e-06
2122.68591255	19070000000	550000000	8.48702103949e-06
2124.75065378	19080000000	560000000	8.47877371772e-06
2143.08187111	19190000000	560000000	8.40624907655e-06
2147.98908783	19350000000	580000000	8.38704446966e-06
2154.52443548	19460000000	580000000	8.36160393602e-06
2162.6940561	19770000000	580000000	8.33001780774e-06
2174.57280974	19980000000	590000000	8.28451451215e-06
2185.43743675	20560000000	580000000	8.2433290915e-06
2215.26699369	20680000000	250000000	8.13232899301e-06
2191.07424226	20970000000	510000000	8.22212212281e-06
2198.25677514	21170000000	540000000	8.19525735288e-06
2208.581904	21430000000	550000000	8.15694449336e-06
2218.79957768	21930000000	560000000	8.11938139037e-06
2239.13816761	23080000000	620000000	8.04563124356e-06
2216.68524677	24080000000	250000000	8.12712586339e-06
2238.41437356	24620000000	790000000	8.04823280836e-06
2229.72697717	23910000000	620000000	8.0795900953e-06
2227.04867081	25590000000	280000000	8.08930681942e-06
2244.76432444	25880000000	540000000	8.02546610522e-06
2240.9362727	25570000000	790000000	8.03917550866e-06
2230.3977685	25860000000	440000000	8.07716016151e-06
2375.77834009	27110000000	280000000	7.5828959697e-06
2408.06773049	30430000000	400000000	7.48121814511e-06
