rho[kg/m^3]	P[Pa]	dP[Pa]	V[m^3/mol]
2425.70668818	36060000000	660000000	7.42681713655e-06
2514.30297682	41480000000	720000000	7.16511898768e-06
2508.35883368	41120000000	690000000	7.18209841356e-06
2527.04337068	41490000000	410000000	7.12899517634e-06
2525.89222882	41880000000	420000000	7.13224412128e-06
2528.06309756	42620000000	360000000	7.12611960412e-06
2541.39375286	42900000000	490000000	7.08874017643e-06
2543.81630539	42980000000	330000000	7.08198935663e-06
2577.01532561	45420000000	700000000	6.99075392412e-06
2582.90051227	45700000000	810000000	6.97482536181e-06
2586.45908006	47230000000	910000000	6.96522908051e-06
2656.50860675	51370000000	300000000	6.78156282054e-06
2660.39842698	51520000000	230000000	6.77164736578e-06
2649.09254498	51530000000	410000000	6.80054761929e-06
2687.05489977	51560000000	30000000	6.7044703856e-06
2686.91733235	51560000000	150000000	6.70481364762e-06
2806.07121447	59400000000	1000000000	6.42010790998e-06
2908.38171269	67100000000	1000000000	6.19426257613e-06
2927.95060091	68900000000	1000000000	6.15286336948e-06
2954.12902999	70380000000	1180000000	6.09833890704e-06
3045.45171076	84330000000	1220000000	5.91547058072e-06
3049.50151976	87820000000	320000000	5.9076146981e-06
