# Grande et al. (2022) Supplementary Information, Table 4, pp. 19-24
# Manually/extraction-assisted transcription of the printed Pressure-Volume table.
# Original units preserved. Row order preserved.
# P_GPa	dP_GPa	Vcell_A3
2.71	0.43	37.21621
3.54	0.265	37.02926
3.57	0.115	36.37656
3.56	0.12	36.36668
3.58	0.12	36.3568
3.58	0.104	36.34034
3.57	0.06	36.3206
3.69	0.074	36.2877
3.647	0.072	36.24169
4.02	0.18	36.19571
3.89	0.14	36.1006
4.38	0.35	35.82278
4.46	0.11	35.11999
4.50	0.42	35.75436
4.56	0.55	35.62753
5.09	0.39	34.86003
5.26	0.39	34.85363
5.37	0.37	34.76408
5.42	0.15	34.70659
5.43	0.10	34.69701
5.433	0.05	34.68106
5.45	0.03	34.65873
5.60	0.14	34.49952
5.70	0.16	34.41375
5.78	0.21	34.33446
5.89	0.39	34.25846
6.02	0.35	34.15098
6.17	0.39	34.00907
6.26	0.29	33.84245
6.40	0.43	33.79068
6.49	0.41	33.71705
6.50	0.45	33.61977
6.55	0.13	33.56105
6.70	0.51	33.46064
6.91	0.52	33.34894
7.05	0.49	33.19872
7.22	0.49	33.07152
7.39	0.46	32.98259
7.97	0.13	32.50727
9.76	0.13	31.5524
11.36	0.15	30.79144
11.99	0.16	30.093
12.43	0.24	30.50586
12.40	0.26	30.50059
12.39	0.36	30.50015
12.36	0.34	30.49804
12.59	0.30	30.49485
12.63	0.29	30.4928
12.68	0.49	30.48712
12.66	0.52	30.48009
12.71	0.52	30.47365
12.79	0.58	30.4561
12.83	0.59	30.42787
12.83	0.53	30.3614
12.85	0.58	30.28401
13.06	0.40	30.08923
13.17	0.46	29.96663
13.28	0.17	29.73021
13.39	0.53	29.82662
13.64	0.67	29.71115
13.72	0.17	29.3732
13.99	0.42	29.60345
14.35	0.61	29.49157
15.89	0.18	28.51771
15.94	0.47	28.84874
15.72	0.56	28.84448
18.25	0.60	28.07417
18.35	0.47	27.92651
18.39	0.51	28.06727
18.37	0.49	28.04434
18.42	0.52	28.06125
18.44	0.40	28.02701
18.72	0.52	28.03418
18.77	0.55	28.02316
18.87	0.40	27.90912
19.21	0.58	28.17772
19.07	0.55	28.18606
19.08	0.56	28.15867
19.19	0.56	27.91781
19.35	0.58	27.85403
19.46	0.58	27.76954
19.77	0.58	27.66464
19.98	0.59	27.51352
20.56	0.58	27.37674
20.68	0.25	27.0081
20.97	0.51	27.30631
21.17	0.54	27.21709
21.43	0.55	27.08985
21.93	0.56	26.9651
23.08	0.62	26.72017
24.08	0.25	26.99082
24.62	0.79	26.72881
23.91	0.62	26.83295
25.59	0.28	26.86522
25.88	0.54	26.6532
25.57	0.79	26.69873
25.86	0.44	26.82488
27.11	0.28	25.18339
30.43	0.40	24.84571
36.06	0.66	24.66504
41.48	0.72	23.79592
41.12	0.69	23.85231
41.49	0.41	23.67595
41.88	0.42	23.68674
42.62	0.36	23.6664
42.90	0.49	23.54226
42.98	0.33	23.51984
45.42	0.70	23.21684
45.70	0.81	23.16394
47.23	0.91	23.13207
51.37	0.30	22.5221
51.52	0.23	22.48917
51.53	0.41	22.58515
51.56	0.03	22.26607
51.56	0.15	22.26721
59.40	1.00	21.32168
67.1	1.00	20.57163
68.9	1.00	20.43414
70.38	1.18	20.25306
84.33	1.22	19.64574
87.82	0.32	19.61965
