rho[kg/m^3]	P[Pa]	T[K]	V[m^3/mol]	f[J/mol]
4.48213e+3	1.59633132618716e+10	300	1.34053e-5	-8.13866475829503e+5
4.98977e+3	6.22002883205275e+10	300	1.20415e-5	-7.62985647936886e+5
5.33499e+3	1.00175560653784e+11	300	1.12623e-5	-7.0039852289515e+5
5.55734e+3	1.27448554051824e+11	300	1.08117e-5	-6.4928130344782e+5
4.76602e+3	4.39171585513861e+10	1000	1.26068e-5	-8.32383375312393e+5
5.04796e+3	7.17491593837884e+10	1000	1.19027e-5	-7.92056224788907e+5
5.30644e+3	1.00353283324671e+11	1000	1.13229e-5	-7.4244472654714e+5
5.45576e+3	1.18227389682386e+11	1000	1.1013e-5	-7.08626830436273e+5
4.70662e+3	4.46213591617509e+10	2000	1.27659e-5	-9.558751623056e+5
4.99072e+3	7.20787394840569e+10	2000	1.20392e-5	-9.13882383650307e+5
5.25304e+3	1.00603955884033e+11	2000	1.1438e-5	-8.62273583295091e+5
5.43164e+3	1.2178014769025e+11	2000	1.10619e-5	-8.20543297672322e+5
4.74438e+3	5.43940624544716e+10	3000	1.26643e-5	-1.10608195729859e+6
4.97691e+3	7.71245019363694e+10	3000	1.20726e-5	-1.06739744824546e+6
5.28139e+3	1.10530625732694e+11	3000	1.13766e-5	-1.00256434184744e+6
5.43164e+3	1.28551666822677e+11	3000	1.10619e-5	-9.64997996670363e+5
4.68545e+3	5.53542294051409e+10	4000	1.28236e-5	-1.29589682763555e+6
4.96298e+3	8.22004064363792e+10	4000	1.21065e-5	-1.24696550634807e+6
5.22472e+3	1.10677956724893e+11	4000	1.15e-5	-1.18877921345201e+6
5.38038e+3	1.29085899686482e+11	4000	1.11673e-5	-1.14895508080899e+6
