rho[kg/m^3]	drho[kg/m^3]	P[Pa]	dP_minus[Pa]	dP_plus[Pa]
9402	37	97000000000	35000000000	35000000000
9374	100	121000000000	24000000000	24000000000
10229	30	190000000000	10000000000	10000000000
11385	20	275000000000	15000000000	15000000000
11323	17	277000000000	25000000000	25000000000
13473	177	483000000000	17000000000	67000000000
14857	140	720000000000	50000000000	100000000000
15240	57	906000000000	1500000000	52000000000
15199	720	928000000000	10000000000	60000000000
17586	108	1.26e+12	20000000000	70000000000
