# Wicks et al. (2018), Supplementary Table S1, p. 3
# Manual transcription checked against the rendered supplementary table.
# Original units and parenthetical uncertainty notation are preserved.
# Pressure footnote a: uncertainty includes experimental and systematic EOS-model contributions.
# Flag b: target with LiF window. Flag c: lattice parameters calculated from all three hcp reflections.
# P[GPa]	flags	shot	wt%Si	bcc110[A]	hcp100[A]	hcp002[A]	hcp101[A]	a[A]	c[A]	c/a	rho[g/cm^3]
140(20)	b,c	s76622	7	-	1.9773(30)	1.8445(25)	1.7475(10)	2.2857(51)	3.6903(217)	1.6358(72)	10.288(52)
335(7)	b,c	s76621	7	-	1.8368(46)	1.7204(236)	1.6304(21)	2.1262(108)	3.4436(486)	1.6691(206)	12.578(169)
377(-15,+65)	c	s76623	7	-	1.8127(63)	1.6939(112)	1.6018(41)	2.095(6)	3.3888(367)	1.6347(161)	13.362(190)
609(-20,+70)	-	s77734	7	-	1.7251(219)	-	1.5276(11)	1.9920(189)	3.2879(1183)	1.6505(582)	15.353(311)
945(-10,+60)	-	s77737	7	-	1.6619(86)	-	1.4786(35)	1.9190(148)	3.2384(890)	1.6875(452)	16.795(461)
1314(-40,+90)	-	s77740	7	-	1.6223(41)	-	1.4447(43)	1.8733(48)	3.1756(456)	1.6952(216)	17.974(338)
97(35)	b	s77731	15	1.8245(24)	-	-	-	-	-	-	9.402(37)
121(24)	b	s76624	15	1.8263(65)	-	-	-	-	-	-	9.374(100)
190(10)	b	s77735	15	1.7740(17)	-	-	-	-	-	-	10.229(30)
275(15)	b	s76618	15	1.7118(10)	-	-	-	-	-	-	11.385(20)
277(25)	b	s77742	15	1.7149(8)	-	-	-	-	-	-	11.323(17)
483(-17,+67)	-	s78430	15	1.6183(70)	-	-	-	-	-	-	13.473(177)
720(-50,+100)	-	s78428	15	1.5665(49)	-	-	-	-	-	-	14.857(140)
906(-1.5,+52)	-	s78429	15	1.5532(19)	-	-	-	-	-	-	15.240(57)
928(-10,+60)	-	s77739	15	1.5546(238)	-	-	-	-	-	-	15.199(720)
1260(-20,+70)	-	s78431	15	1.4808(31)	-	-	-	-	-	-	17.586(108)
